title,price,published,acreage,address,latitude,longitude
"Cho Thuê Phòng Full Nội Thất Đặng Văn Ngữ, Phú Nhuận",5.5,14/02/2020,30.0,"184/3 Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.7909533,106.666667
CĂN HỘ 1 PHÒNG NGỦ RIÊNG VÀ 1 PHÒNG BẾP FULL NỘI THẤT Q.PHÚ NHUẬN 35M2,7.0,08/02/2020,35.0,"541/46a Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.791291,106.667505
"Cho thuê phòng Full nội thất 20m2 Ngay Đặng Văn Ngữ, Q.Phú Nhuận. Giá từ 4.7tr/tháng",4.7,09/05/2020,20.0,"122/10 Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.7936332,106.6685306
Phòng trọ ban công 28m² - full nội thất - Quận Phú Nhuận,5.9,07/07/2020,28.0,"122/10 Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.7936332,106.6685306
"Phòng 35m2 máy lạnh, tolet riêng lối đi riêng",4.5,13/08/2020,35.0,"Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.791733169000054,106.67028720700006
CĂN HỘ MINI - PHÚ NHUẬN - BAN CÔNG & CỬA SỔ,5.9,07/07/2020,28.0,"122/10 Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.7936332,106.6685306
"Phòng trọ trung tâm, có gác, máy lạnh, 20m2, 35m2, tolet riêng",3.8,18/08/2020,18.0,"Đường Lê Văn Sỹ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.793378219000033,106.66939684700009
"Phòng trọ Huỳnh Văn Bánh Quận Phú Nhuận, có gác, có máy lạnh, diện tích 20m2",4.0,13/08/2020,20.0,"452/14 Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.7920001,106.6692082
"Phòng trọ đường Huỳnh Văn Bánh Quận Phú Nhuận, 35m2, có lối đi riêng",4.3,23/08/2020,35.0,"452/14 Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.7920001,106.6692082
"Phòng trọ phú nhuận, có tolet, máy lạnh, cửa xổ, wifi, máy giặt",3.5,24/10/2020,18.0,"Đường Lê Văn Sỹ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.7884861,106.6767003
"Phòng giá rẻ sạch sẽ cách Lotte chưa tới 1km. Phòng 25m2 có gác, giá thuê 3,5 Triệu/Tháng",3.5,12/05/2022,25.0,"Phường Tân Quy, Quận 7, Hồ Chí Minh",10.7429472,106.7126804
"Phòng trọ cao cấp gần Lotte, BV 24/24, hầm để xe, thang máy, free máy giặt, wifi, cáp, giá 3tr-6tr",3.0,14/05/2022,20.0,"83A Phố số 49, Phường Tân Quy, Quận 7, Hồ Chí Minh",10.73721,106.7090357
️️Phòng Rộng Rãi Có Gác Thang Máy Sát Lotte Quận 7️️. Giá thuê chỉ từ 3tr3 đến 3tr5/tháng,3.5,12/05/2022,20.0,"Đường Nguyễn Thị Thập, Phường Tân Quy, Quận 7, Hồ Chí Minh",10.7389949,106.7097417
